SiteCode,Network,ParkCode,ShortName,LongName,SiteName,Lat,Long,Type,CharacteristicName,DataName,Units,DisplayName,DataType,LowerPoint,UpperPoint,LowerDescription,UpperDescription,AssessmentDetails,Category,CategoryDisplay
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,TotDissN.mgL,TotDissN,mgL,Total Dissolved Nitrogen,numeric,0,100,testing,testing2,testing3,TotDissN,Total Dissolved Nitrogen
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,ANC.ueqL,ANC,ueqL,Acid Neutralizing Capacity,numeric,0,100,testing,testing2,testing3,ANC,Acid Neutralizing Capacity
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,DOC.mgL,DOC,mgL,Dissolved Organic Carbon,numeric,0,100,testing,testing2,testing3,DOC,Dissolved Organic Carbon
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,NH3.mgL,NH3,mgL,Ammonia,numeric,0,100,testing,testing2,testing3,NH3,Ammonia
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,DO.mgL,DO,mgL,Dissolved Oxygen,numeric,0,100,testing,testing2,testing3,DO,Dissolved Oxygen
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,NH4.mgL,NH4,mgL,Ammonium,numeric,0,100,testing,testing2,testing3,NH4,Ammonium
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,Discharge.cfs,Discharge,cfs,Discharge,numeric,0,100,testing,testing2,testing3,Discharge,Discharge
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,Turbidity.NTU,Turbidity,NTU,Turbidity,numeric,0,100,testing,testing2,testing3,Turbidity,Turbidity
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,NO3.ueqL,NO3,ueqL,Nitrate,numeric,0,100,testing,testing2,testing3,NO3,Nitrate
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,PO4.ugL,PO4,ugL,Phosphate,numeric,0,100,testing,testing2,testing3,PO4,Phosphate
NETN_ACAD_ABIN,NETN,ACAD,Acadia,Acadia National Park,Aunt Betty Pond Inlet,44.365021,-68.27243,Stream,SO4.ueqL,SO4,ueqL,Sulfate,numeric,0,100,testing,testing2,testing3,SO4,Sulfate
